monthly_income,total_debt,num_credit_cards,payment_history,employment_years,age_group,marital_status,good_credit
2817.0,11264.0,0,0.993,23,2,0,1
6423.0,25493.0,7,0.934,27,3,1,1
7183.0,17910.0,3,0.993,16,1,1,1
4938.0,14290.0,5,0.77,2,3,2,0
2358.0,5858.0,7,0.605,16,2,1,1
8510.0,32836.0,7,0.697,7,3,2,1
3498.0,4423.0,8,0.837,26,2,2,1
2255.0,4157.0,5,0.524,16,1,0,0
5853.0,10914.0,1,0.863,12,3,0,1
1235.0,17764.0,6,0.699,11,3,1,0
2647.0,4898.0,0,0.747,18,1,0,1
5312.0,14904.0,9,0.837,8,1,2,0
4741.0,14739.0,8,0.53,16,2,0,0
2683.0,1085.0,9,0.522,20,3,1,1
2261.0,24224.0,9,0.852,17,2,2,0
5857.0,0.0,8,0.647,1,3,0,1
5023.0,20359.0,5,0.582,3,3,0,0
7823.0,4417.0,2,0.871,21,1,1,1
4787.0,35625.0,5,0.891,22,2,2,0
4037.0,20375.0,3,0.661,13,3,1,1
4580.0,33939.0,9,0.699,21,1,0,0
3529.0,28014.0,2,0.734,25,2,0,1
5182.0,0.0,3,0.533,28,1,2,1
800.0,1533.0,7,0.525,27,3,0,1
6677.0,13829.0,0,0.929,14,3,2,1
2030.0,7584.0,5,0.962,17,2,0,1
1508.0,33564.0,3,0.907,19,2,1,0
4564.0,12622.0,2,0.766,9,3,2,1
4223.0,21159.0,1,0.913,6,1,2,0
3008.0,9369.0,2,0.792,15,3,2,1
2136.0,23983.0,6,0.895,8,2,1,0
3364.0,10088.0,4,0.808,26,1,2,1
6684.0,23145.0,0,0.552,22,2,1,1
2456.0,7578.0,8,0.945,12,1,1,0
6420.0,40274.0,3,0.535,2,2,2,0
5599.0,24767.0,8,0.893,21,1,2,0
6072.0,22169.0,2,0.612,23,1,1,1
3378.0,22037.0,7,0.609,13,2,2,0
3545.0,13929.0,7,0.768,8,3,0,0
4989.0,6400.0,6,0.522,17,1,2,0
2613.0,4321.0,4,0.879,13,1,0,1
5781.0,16646.0,8,0.78,28,1,1,1
3351.0,3843.0,6,0.907,6,3,0,1
5809.0,29049.0,2,0.565,16,1,2,0
1824.0,17902.0,9,0.965,5,2,2,0
6437.0,32132.0,1,0.846,3,1,1,0
5469.0,13181.0,2,0.644,29,3,1,1
3519.0,16468.0,4,0.976,27,1,2,1
3864.0,15167.0,3,0.914,7,2,0,1
4749.0,24224.0,7,0.91,27,1,1,1
4982.0,14660.0,9,0.637,15,3,1,1
6067.0,3787.0,4,0.841,3,2,2,0
4554.0,26524.0,7,0.824,28,2,1,1
7274.0,7541.0,4,0.642,22,3,2,1
3419.0,6426.0,9,0.57,26,1,1,0
8719.0,4474.0,5,0.862,10,3,2,1
3625.0,24729.0,9,0.696,10,2,0,0
1700.0,1692.0,4,0.712,23,1,2,1
6460.0,22905.0,7,0.983,6,1,0,0
6429.0,34154.0,1,0.689,21,3,2,1
6299.0,15877.0,2,0.762,20,3,2,1
6767.0,8311.0,7,0.515,20,2,0,1
3027.0,25569.0,7,0.894,23,3,2,0
3635.0,16774.0,6,0.928,7,2,0,1
5373.0,4516.0,5,0.992,10,1,2,1
5121.0,15481.0,7,0.588,14,2,2,0
4421.0,11984.0,8,0.856,15,2,2,1
6818.0,0.0,0,0.508,18,2,1,1
4510.0,9696.0,3,0.776,18,3,0,1
3664.0,31371.0,2,0.756,8,1,1,0
3767.0,27110.0,7,0.688,0,3,2,0
4173.0,19657.0,6,0.875,13,2,0,1
6536.0,22122.0,6,0.996,29,1,2,0
2922.0,18217.0,4,0.537,15,2,0,0
8390.0,17012.0,8,0.592,0,2,2,0
4445.0,1277.0,2,0.81,15,3,1,1
4462.0,15809.0,1,0.65,27,2,1,1
10319.0,3842.0,8,0.832,1,1,1,1
2922.0,19505.0,1,0.893,3,2,2,0
4304.0,3062.0,9,0.817,28,1,0,1
4716.0,24634.0,6,0.522,28,1,0,0
4706.0,254.0,6,0.62,26,3,1,1
1575.0,12847.0,9,0.847,21,2,1,0
4918.0,17470.0,0,0.564,3,3,0,0
2366.0,0.0,0,0.97,18,1,2,1
1323.0,8394.0,2,0.589,16,3,0,1
800.0,18302.0,8,0.725,19,3,1,0
7194.0,18254.0,5,0.596,3,3,1,0
5329.0,9676.0,7,0.594,29,2,0,1
4506.0,5103.0,8,0.979,9,1,0,1
4609.0,2794.0,5,0.723,15,3,2,1
4658.0,17269.0,6,0.623,10,2,0,0
4892.0,10123.0,9,0.927,9,3,1,1
6754.0,39324.0,9,0.988,1,3,2,0
4852.0,38449.0,8,0.627,24,3,0,1
4739.0,12608.0,8,0.907,13,1,1,0
4048.0,10695.0,5,0.726,9,2,0,1
6810.0,18626.0,8,0.636,15,3,0,1
2541.0,22888.0,1,0.635,9,1,2,0
6630.0,29804.0,0,0.605,5,3,0,1
6594.0,0.0,2,0.539,12,2,0,1
5928.0,27143.0,6,0.622,26,3,1,1
2267.0,14568.0,2,0.808,23,3,2,1
5815.0,9092.0,8,0.929,15,2,2,1
4496.0,7520.0,0,0.835,14,2,1,1
4528.0,1350.0,9,0.631,4,2,1,1
1839.0,25693.0,7,0.798,20,1,2,0
3907.0,2215.0,4,0.831,16,2,1,1
4574.0,15820.0,2,0.709,20,1,1,1
5042.0,25623.0,5,0.8,16,1,2,0
4316.0,11613.0,4,0.648,10,1,1,0
4822.0,11047.0,7,0.563,6,2,1,1
4313.0,12347.0,7,0.677,14,3,2,0
4003.0,32584.0,7,0.642,2,3,0,0
5192.0,4694.0,4,0.835,12,2,1,1
5935.0,17023.0,9,0.917,13,2,0,1
3753.0,29652.0,3,0.521,1,1,1,0
