income,credit_score,age,loan_amount,zip_code,gender,approved
62451.0,725.0,30,23811.0,4,1,0
52926.0,609.0,55,24044.0,3,1,0
64715.0,658.0,69,28482.0,1,1,1
77845.0,613.0,52,42077.0,4,1,0
51488.0,615.0,27,23139.0,2,0,0
51488.0,625.0,41,15928.0,4,0,0
78688.0,668.0,40,19795.0,1,1,1
66512.0,612.0,46,5847.0,1,0,1
47958.0,750.0,24,14442.0,1,1,1
63138.0,578.0,66,16726.0,1,0,1
48049.0,635.0,42,15807.0,1,1,0
48014.0,615.0,35,21219.0,2,1,0
58629.0,766.0,60,13421.0,3,1,1
26301.0,666.0,41,28968.0,1,0,0
29126.0,733.0,35,20002.0,1,0,1
46566.0,531.0,42,19926.0,4,1,0
39808.0,671.0,48,17377.0,2,1,1
59714.0,721.0,34,21242.0,2,0,0
41380.0,657.0,47,26601.0,3,0,0
33815.0,735.0,61,13063.0,2,0,1
76985.0,609.0,60,14735.0,4,0,0
51613.0,763.0,48,17570.0,4,0,0
56013.0,834.0,46,9233.0,3,1,1
33629.0,621.0,69,13446.0,4,0,0
46834.0,614.0,22,16190.0,1,1,0
56664.0,766.0,45,26995.0,1,1,1
37735.0,776.0,23,22100.0,4,0,0
60635.0,608.0,28,21549.0,3,0,1
45990.0,616.0,64,26807.0,2,1,1
50625.0,627.0,53,18901.0,3,0,1
45974.0,542.0,62,23124.0,2,1,0
82784.0,577.0,55,19174.0,4,0,1
54798.0,570.0,26,22123.0,4,0,0
39134.0,589.0,59,15338.0,1,0,0
67338.0,647.0,43,1000.0,2,1,1
36687.0,669.0,45,18926.0,3,0,0
58133.0,774.0,63,31382.0,4,1,1
25605.0,570.0,39,27410.0,3,0,0
35077.0,729.0,25,27723.0,1,1,1
57953.0,633.0,31,29889.0,2,0,1
66077.0,646.0,32,20709.0,2,1,1
57571.0,704.0,30,21579.0,4,1,0
53265.0,560.0,28,15059.0,2,1,1
50483.0,681.0,44,17471.0,4,1,0
32822.0,663.0,48,24926.0,1,1,1
44202.0,689.0,61,29631.0,2,1,0
48090.0,673.0,56,18884.0,4,0,0
70857.0,846.0,57,16398.0,3,1,1
60154.0,599.0,41,20004.0,4,1,0
28554.0,608.0,28,24810.0,2,1,0
59861.0,600.0,29,8449.0,1,0,1
49224.0,606.0,67,1631.0,2,0,1
44846.0,599.0,35,15596.0,2,0,0
64175.0,745.0,68,10234.0,4,1,1
70465.0,764.0,66,15935.0,3,0,1
68969.0,604.0,60,18818.0,2,0,0
42412.0,583.0,38,16374.0,3,1,1
50362.0,688.0,62,31620.0,4,1,0
59969.0,606.0,40,22614.0,3,0,0
69633.0,701.0,26,22404.0,4,1,1
47812.0,666.0,32,24978.0,1,1,1
52215.0,529.0,22,10889.0,3,1,0
38405.0,774.0,27,28313.0,3,1,1
37057.0,794.0,36,19394.0,1,0,1
67188.0,601.0,23,25364.0,3,1,0
75344.0,619.0,65,11425.0,1,0,1
53920.0,673.0,23,7570.0,2,0,1
70053.0,677.0,47,26543.0,4,0,1
60425.0,703.0,63,23011.0,1,0,1
45323.0,811.0,60,12784.0,3,1,1
60421.0,636.0,58,13043.0,1,1,1
78071.0,586.0,53,29003.0,3,1,1
54463.0,540.0,48,10485.0,2,0,1
78470.0,592.0,21,33141.0,1,0,1
15704.0,647.0,28,12795.0,2,0,0
67329.0,794.0,57,25107.0,4,1,0
56306.0,609.0,52,17371.0,3,0,1
50515.0,668.0,68,24825.0,3,1,1
56376.0,649.0,63,15647.0,2,1,1
25186.0,745.0,57,18698.0,4,1,0
51705.0,850.0,24,20327.0,1,1,1
60357.0,608.0,50,11983.0,1,0,1
77168.0,611.0,26,25927.0,3,1,1
47226.0,734.0,66,15894.0,2,0,1
42873.0,705.0,39,18171.0,2,1,0
47474.0,798.0,52,12045.0,1,0,1
68731.0,697.0,29,1000.0,4,0,0
59931.0,621.0,32,18472.0,4,1,0
47054.0,697.0,31,39301.0,1,1,1
62699.0,739.0,66,26277.0,1,1,1
56456.0,716.0,36,19846.0,2,0,0
69530.0,691.0,21,17897.0,4,1,0
44469.0,735.0,65,20180.0,1,1,1
50085.0,744.0,41,24377.0,1,0,1
49118.0,761.0,50,10553.0,3,1,1
33047.0,702.0,33,28915.0,1,0,0
59442.0,637.0,54,25723.0,1,1,1
58916.0,662.0,24,25745.0,4,0,0
55077.0,747.0,48,23508.0,2,0,0
51481.0,585.0,58,20157.0,4,1,0
33769.0,679.0,51,25383.0,2,0,1
48690.0,619.0,47,24735.0,3,1,1
49859.0,652.0,25,17168.0,1,1,1
42966.0,752.0,45,15411.0,3,0,1
52581.0,665.0,23,20815.0,2,1,1
61061.0,654.0,53,32392.0,4,0,0
83293.0,541.0,24,10087.0,4,0,0
57619.0,710.0,45,8260.0,3,0,1
58863.0,702.0,40,21318.0,2,0,1
53883.0,823.0,54,20407.0,3,0,1
26218.0,625.0,46,21387.0,3,0,0
54602.0,668.0,25,21952.0,1,0,1
55903.0,670.0,55,18214.0,3,0,1
91949.0,776.0,48,31919.0,1,1,1
52115.0,642.0,49,7193.0,1,1,1
59523.0,672.0,29,13372.0,4,0,0
54479.0,699.0,58,19174.0,1,1,1
37470.0,665.0,26,6854.0,1,1,1
72142.0,614.0,39,18593.0,4,1,1
66279.0,666.0,64,33292.0,3,1,1
66865.0,736.0,31,20167.0,2,1,1
41359.0,568.0,22,21846.0,2,1,0
76042.0,661.0,67,9919.0,2,0,1
33972.0,594.0,64,15069.0,3,1,0
63803.0,746.0,64,16998.0,1,1,1
87857.0,528.0,29,17458.0,2,1,1
40142.0,605.0,41,30253.0,3,1,1
46506.0,680.0,44,24462.0,1,0,1
56495.0,775.0,54,11108.0,4,0,1
47448.0,645.0,42,21972.0,2,0,0
31740.0,606.0,23,23986.0,1,0,1
56028.0,800.0,32,29121.0,2,1,1
39065.0,534.0,48,32644.0,2,0,0
62104.0,474.0,50,11879.0,2,0,1
41209.0,685.0,46,13513.0,1,0,1
78249.0,610.0,68,9939.0,3,0,1
43251.0,568.0,41,18128.0,1,1,0
50169.0,707.0,48,23731.0,2,0,1
67203.0,670.0,46,27899.0,1,1,1
36537.0,605.0,53,19392.0,4,0,0
58412.0,548.0,41,17441.0,3,1,1
74607.0,720.0,55,21214.0,1,1,1
30888.0,702.0,54,13319.0,4,0,0
57770.0,642.0,61,36716.0,3,0,1
58898.0,798.0,67,7139.0,4,0,0
66727.0,564.0,38,21478.0,3,0,1
36446.0,528.0,31,36189.0,1,1,0
35193.0,595.0,43,20054.0,4,1,0
62829.0,646.0,68,18480.0,2,0,1
59455.0,669.0,42,17140.0,4,0,0
58757.0,631.0,37,18557.0,3,1,1
60197.0,678.0,25,30983.0,1,0,1
44800.0,550.0,64,2305.0,3,1,0
58484.0,766.0,31,32267.0,4,0,0
59396.0,643.0,50,8608.0,4,1,0
44285.0,739.0,35,17867.0,2,1,1
82987.0,677.0,47,16566.0,1,1,1
62107.0,687.0,55,24708.0,1,1,1
37130.0,696.0,53,7215.0,4,1,0
64848.0,686.0,40,23697.0,1,0,1
