years_experience,education_level,skills_score,interview_score,gender,ethnicity,hired
11,1,43.8,52.3,0,3,0
17,2,95.7,43.2,1,3,0
6,4,84.0,31.7,0,2,1
23,4,65.3,59.2,0,3,1
11,3,65.8,100.0,0,2,1
15,4,79.2,49.5,0,2,1
9,1,78.3,79.4,1,2,0
13,4,70.0,60.7,1,1,1
8,3,81.0,22.7,0,3,0
4,3,86.3,74.4,0,3,1
8,4,59.4,35.2,0,3,0
21,3,58.3,62.2,0,3,0
0,3,93.7,81.5,1,2,0
14,2,80.0,59.0,0,3,1
5,3,74.8,43.9,0,2,1
12,2,100.0,65.7,0,1,1
8,3,50.7,63.7,0,3,0
17,3,89.1,66.9,0,1,1
19,4,71.1,100.0,0,1,1
15,2,77.7,61.4,0,3,1
8,3,84.9,86.4,0,1,1
19,3,84.3,67.6,1,1,1
19,4,81.8,41.0,0,2,1
2,2,59.9,59.0,1,2,0
12,4,67.9,76.9,1,2,0
8,3,48.6,67.4,0,1,1
19,1,68.0,65.5,0,3,0
10,3,50.9,63.0,1,2,0
12,3,87.5,79.0,1,2,1
11,2,73.6,48.1,0,1,1
23,3,86.4,82.6,1,2,1
0,3,73.2,72.6,0,1,1
9,4,52.4,78.3,0,1,1
23,2,66.0,78.0,1,3,1
9,4,78.4,73.7,1,1,1
15,1,90.9,83.1,0,1,1
8,1,67.4,80.4,0,3,0
4,1,57.7,53.3,0,1,0
19,2,53.7,44.3,0,1,1
3,1,64.1,57.6,1,2,0
7,3,51.4,34.4,1,3,0
10,1,73.0,38.1,0,3,0
20,4,98.3,62.7,1,1,1
24,3,57.9,72.5,0,1,1
7,1,84.1,57.1,0,2,0
6,2,87.2,63.5,1,1,1
14,3,54.8,70.0,0,3,1
9,1,63.8,68.6,1,1,0
20,3,70.8,44.6,1,1,1
18,2,78.8,56.6,0,2,1
23,4,49.7,60.2,1,1,1
7,2,90.5,68.3,0,1,0
7,3,89.0,57.3,1,3,0
15,2,55.3,40.0,0,1,0
12,4,85.1,46.1,1,2,1
0,3,96.8,100.0,0,3,1
20,1,76.0,66.2,1,2,0
10,4,98.1,75.3,1,3,1
12,4,67.9,75.3,0,1,1
17,4,58.1,82.4,0,3,1
24,3,69.8,91.8,0,3,1
11,4,67.9,74.0,0,3,0
19,3,20.0,83.0,0,1,1
15,2,72.8,54.4,0,3,0
1,4,78.5,80.9,0,2,1
24,1,92.7,40.5,1,2,0
4,2,88.4,79.5,0,1,1
19,4,88.6,45.1,1,2,1
18,4,100.0,80.0,0,3,1
3,2,89.7,84.3,1,2,1
10,1,42.1,55.4,1,2,0
19,3,67.9,100.0,0,2,1
7,2,100.0,100.0,1,1,0
20,3,75.9,85.7,0,3,1
8,3,69.6,74.9,1,1,0
22,2,58.6,83.3,1,1,1
19,4,83.6,100.0,0,1,1
23,1,60.2,65.1,0,3,1
14,4,58.0,87.3,0,3,1
15,4,61.6,70.2,0,3,1
22,2,77.9,43.4,1,2,1
5,2,65.4,26.0,1,2,0
22,4,60.7,39.2,1,1,1
9,1,78.4,44.1,0,1,0
13,4,85.0,68.2,0,2,1
2,1,85.8,56.6,0,2,0
18,4,32.9,46.2,0,3,1
15,2,79.7,60.5,0,3,1
11,2,50.4,100.0,1,3,0
10,3,85.1,75.2,0,1,1
17,1,54.6,83.4,0,3,1
3,4,56.8,55.9,1,2,0
3,3,61.5,49.9,1,2,0
19,4,85.2,39.5,0,3,1
20,2,59.1,79.7,1,1,1
15,1,92.6,89.0,0,1,1
14,3,49.7,60.8,1,1,1
5,2,38.7,70.0,1,2,0
5,1,75.5,94.9,1,1,0
24,4,44.7,86.7,0,3,1
19,3,58.7,87.4,0,1,1
6,1,74.1,97.1,1,3,0
24,2,76.6,65.0,0,1,1
7,4,71.1,27.9,1,2,0
5,3,62.0,100.0,1,1,1
14,1,64.9,71.0,1,1,0
7,3,88.8,73.6,0,3,1
5,1,55.3,87.8,0,2,0
4,3,67.1,49.6,1,2,0
20,3,64.1,58.7,0,1,1
23,4,67.9,64.7,1,1,1
3,1,85.3,69.5,1,3,0
15,2,75.0,59.4,0,3,0
2,3,50.0,75.7,0,2,1
3,1,77.2,100.0,0,2,0
18,4,69.9,43.9,1,1,1
13,1,48.9,87.8,0,3,0
14,2,42.8,67.9,0,1,1
3,1,75.3,62.0,0,2,0
14,2,56.8,36.0,1,3,0
5,2,50.8,44.2,1,3,0
22,2,80.7,54.1,1,1,1
22,1,61.9,52.4,1,2,0
21,3,80.2,76.8,0,2,1
21,3,82.5,77.9,0,2,1
17,1,57.4,41.5,0,2,1
23,2,65.1,20.1,1,3,0
11,4,63.4,67.7,1,2,1
4,3,65.0,74.7,0,3,0
7,3,46.9,82.2,0,1,0
20,4,41.8,40.8,0,2,1
11,4,52.6,69.4,0,3,1
5,3,74.2,65.9,1,1,1
17,3,54.3,40.8,0,2,1
22,2,62.0,67.8,1,2,1
18,1,73.9,83.9,1,2,1
13,2,57.6,67.7,0,3,1
6,3,58.0,86.1,0,1,1
3,1,89.3,33.2,1,2,0
24,4,72.0,64.7,0,3,1
14,4,63.8,65.0,0,2,1
17,2,47.8,65.1,0,3,1
23,3,39.2,69.8,0,2,1
20,3,100.0,59.1,0,3,1
13,2,58.6,60.0,1,3,0
15,1,54.6,64.0,0,2,0
17,4,64.4,37.1,1,2,1
24,3,75.1,72.6,0,2,1
20,2,93.2,82.0,0,3,1
0,3,68.6,70.7,1,2,0
20,2,100.0,62.6,1,3,1
15,2,73.6,31.8,1,2,0
18,3,58.8,62.5,0,2,1
21,3,91.5,76.1,0,3,1
11,1,74.3,50.1,1,1,0
8,4,62.4,66.2,0,3,1
13,2,64.8,96.3,1,1,1
1,2,60.5,64.2,1,2,0
24,4,84.5,58.7,1,1,1
4,4,77.9,89.3,1,3,0
6,1,84.3,81.9,1,3,0
9,3,61.6,100.0,0,3,1
20,1,67.0,97.3,0,2,1
3,4,63.1,39.2,0,1,1
11,1,84.0,25.6,0,3,0
1,1,77.1,78.1,0,3,0
15,4,32.5,93.2,0,1,1
4,3,61.4,100.0,1,1,1
4,3,75.3,44.8,1,1,0
4,4,85.7,54.5,1,3,0
18,3,77.3,65.7,0,3,1
19,1,82.7,56.6,1,3,0
14,3,71.1,77.9,1,3,0
17,1,66.9,52.2,0,2,1
23,4,44.3,97.3,0,2,1
14,4,51.4,78.7,0,3,0
20,3,68.7,39.1,1,2,1
16,3,62.0,63.4,0,1,1
6,2,63.0,56.2,1,3,0
7,4,65.8,55.9,1,1,1
20,3,65.3,67.4,0,3,1
10,1,80.0,73.4,1,1,1
10,1,53.6,36.6,0,2,0
0,4,66.6,65.2,1,3,0
23,3,57.8,83.5,0,3,1
11,2,91.9,40.8,1,1,1
18,2,70.7,76.7,0,2,1
7,3,86.0,87.3,1,2,1
13,2,62.4,66.5,0,1,1
23,2,57.2,39.9,1,2,0
22,2,77.4,71.2,0,2,1
21,4,60.1,78.2,0,1,1
12,2,58.2,95.2,0,1,1
2,2,80.8,43.2,1,3,0
8,1,67.1,76.4,0,2,1
22,3,58.2,48.8,1,3,0
17,1,59.5,61.8,1,2,0
1,2,59.6,47.6,0,2,0
2,1,53.8,44.4,1,3,0
16,3,38.8,74.0,1,1,1
18,2,95.6,58.9,1,2,0
2,1,61.9,61.2,1,2,0
24,1,67.6,43.4,1,1,1
15,3,48.1,43.7,1,1,0
6,3,85.8,29.4,1,2,0
10,3,40.0,43.6,1,1,1
22,4,48.8,72.5,1,3,1
20,4,61.3,40.4,1,2,1
16,2,82.3,56.7,0,1,1
20,3,70.1,70.9,0,2,1
1,3,74.1,56.9,0,3,0
14,2,66.4,91.0,1,1,1
22,3,86.3,79.1,1,2,1
7,3,83.5,60.5,1,1,0
8,4,59.0,77.6,1,1,1
16,3,50.9,38.7,0,2,1
0,2,67.9,65.8,1,3,0
12,2,82.2,42.3,0,1,1
8,1,65.3,29.6,0,2,0
7,4,97.5,62.5,1,1,1
16,1,61.1,59.3,1,1,1
6,4,85.8,89.3,0,1,1
13,3,69.3,70.7,0,3,1
7,1,75.4,69.8,1,2,0
7,3,89.6,61.1,0,2,1
20,2,85.8,72.2,1,2,1
3,2,65.8,86.0,0,1,1
11,3,100.0,94.9,1,3,1
8,2,54.9,57.2,1,2,0
11,1,87.8,56.9,0,3,0
12,2,47.7,93.1,1,1,1
